id:ID,:LABEL,preflabel,synonyms:IGNORE,description
NCBIGene:358,GENE,AQP1,CO|AQP-CHIP|AQP1|aquaporin 1 (Colton blood group)|CHIP28,protein-coding gene in the species Homo sapiens
KEGG-path:map04976,PHYS,Bile secretion,NA,Biochemical pathway
KEGG-path:map04964,PHYS,Proximal tubule bicarbonate reclamation,NA,Biochemical pathway
KEGG-path:maphsa04924,PHYS,Renin secretion,NA,Biochemical pathway
InterPro:IPR000425,GENE,Major intrinsic protein,MIP|IPR000425,InterPro Family
NCBIGene:343,GENE,AQP8,AQP8|AQP-8|aquaporin 8,protein-coding gene in the species Homo sapiens
NCBIGene:359,GENE,AQP2,AQP-CD|aquaporin 2|WCH-CD|AQP2,protein-coding gene in the species Homo sapiens
NCBIGene:361,GENE,AQP4,AQP4|aquaporin 4|HMIWC2|MIWC|WCH4,protein-coding gene in the species Homo sapiens
NCBIGene:362,GENE,AQP5,AQP5|AQP-5|aquaporin 5|PPKB,protein-coding gene in the species Homo sapiens
NCBIGene:363,GENE,AQP6,KID|AQP2L|AQP6|aquaporin 6,protein-coding gene in the species Homo sapiens
NCBIGene:4284,GENE,MIP,MIP|major intrinsic protein of lens fiber|CTRCT15|MIP26|MP26|AQP0|LIM1,protein-coding gene in the species Homo sapiens
UniProt:P29972,GENE,Aquaporin 1 (Colton blood group),"AQP1|Aquaporin-CHIP|Water channel protein for red blood cells and kidney proximal tubule|aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin 1, Colton blood group antigen|aquaporin-1|channel-like integral membrane protein, 28-kDa|urine water channel",mammalian protein found in Homo sapiens
UniProt:O94778,GENE,Aquaporin 8,AQP8|aquaporin-8,mammalian protein found in Homo sapiens
UniProt:P41181,GENE,Aquaporin 2,AQP-CD|WCH-CD|AQP-2|aquaporin-2|AQP2|ADH water channel|Water channel protein for renal collecting duct|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water-channel aquaporin 2,mammalian protein found in Homo sapiens
UniProt:P55087,GENE,Aquaporin 4,AQP4|Mercurial-insensitive water channel|MIWC|WCH4|aquaporin-4|aquaporin type4,mammalian protein found in Homo sapiens
UniProt:P55064,GENE,Aquaporin 5,AQP5|aquaporin-5,mammalian protein found in Homo sapiens
UniProt:Q13520,GENE,Aquaporin 6,"AQP6|Aquaporin-2-like|hKID|AQP-6|aquaporin-6|aquaporin 2-like, kidney specific|aquaporin-6, kidney specific|kidney-specific aquaporin",mammalian protein found in Homo sapiens
UniProt:P30301,GENE,Major intrinsic protein of lens fiber,MIP|MIP26|MP26|Aquaporin-0|lens fiber major intrinsic protein|aquaporin 0,mammalian protein found in Homo sapiens
DOID:0060728,DISO,NGLY1-deficiency,Alacrimia-choreoathetosis-liver dysfunction syndrome|congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG,Human disease
KEGG-path:map04141,PHYS,Protein processing in endoplasmic reticulum,NA,Biochemical pathway
NCBIGene:55768,GENE,NGLY1,CDDG|CDG1V|N-glycanase 1|NGLY1|PNG1|PNGase,protein-coding gene in the species Homo sapiens
REACT:R-HSA-532668,PHYS,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Reactome:R-HSA-532668,NA
NCBIGene:11826,GENE,Aqp1,Aqp1|CHIP28|aquaporin 1,protein-coding gene in the species Mus musculus
FlyBase:FBgn0000180,GENE,bib,NA,gene in the species Drosophila melanogaster
FBcv:0000435,DISO,neuroanatomy defective,NA,Drosophila melanogaster phenotype
DOID:2476,DISO,hereditary spastic paraplegia,familial spastic paraplegia|French settlement disease|hereditary spastic paraparesis|HSMN V|Strumpell-Lorrain disease|Strümpell-Lorrain disease,A paraplegia that is characterized by progressive stiffness and contraction (spasticity) in the lower limbs.
DOID:11589,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Human disease
DOID:10595,DISO,Charcot–Marie–Tooth disease,Charcot Marie Tooth muscular atrophy|Charcot-Marie-Tooth disease|Charcot-Marie-Tooth disease、C-M-T|CMT - Charcot-Marie-Tooth disease|Peroneal muscular atrophy,"A neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm."
