id	semantic_groups	preflabel	synonyms	description
RGD:2145	GENE	Aqp7	NA	NA
RGD:1303263	GENE	Gk2	NA	NA
NCBIGene:427417	GENE	CREB3	NA	NA
MGI:99946	GENE	Creb3	NA	NA
FlyBase:FBgn0037244	GENE	CG14647	NA	NA
CL:0000023	ANAT	oocyte	NA	NA
Xenbase:XB-GENE-990196	GENE	capn1	NA	NA
MGI:88263	GENE	Capn1	NA	NA
MGI:1309991	GENE	Krt33b	NA	NA
RGD:1359411	GENE	Krt31	NA	NA
MGI:87883	GENE	Acp5	NA	NA
MP:0001541	DISO	abnormal osteoclast physiology	NA	NA
KEGG-path:maphsa04976	PHYS	Bile secretion	NA	NA
HP:0004305	DISO	Involuntary movements	NA	NA
MGI:5011587	GENE	Gm19402	NA	NA
RGD:1583076	GENE	LOC687631	NA	NA
RGD:3090	GENE	Mip	NA	NA
RGD:628763	GENE	Aqp11	NA	NA
RGD:1309121	GENE	Fbxw11	NA	NA
RGD:70982	GENE	Gsk3b	NA	NA
HGNC:14078	GENE	BACH2	NA	NA
GO:0000980	PHYS	RNA polymerase II distal enhancer sequence-specific DNA binding	NA	NA
FlyBase:FBgn0037788	GENE	CG3940	NA	NA
FBcv:0000709	DISO	cell number defective	NA	NA
ZFIN:ZDB-GENE-060526-131	GENE	rusc2	NA	NA
WormBase:WBGene00006753	GENE	unc-14	NA	NA
NCBIGene:100055579	GENE	CA9	NA	NA
FlyBase:FBgn0034554	GENE	CG15227	NA	NA
HGNC:28454	GENE	DERL1	NA	NA
GO:0005783	PHYS	endoplasmic reticulum	NA	NA
HGNC:19297	GENE	TNK2	NA	NA
FlyBase:FBgn0039147	GENE	CG10694	NA	NA
NCBIGene:431623	GENE	RAD23B	NA	NA
NCBIGene:100514020	GENE	RGS17	NA	NA
HGNC:14088	GENE	RGS17	NA	NA
NCBIGene:100023795	GENE	LINGO1	NA	NA
MGI:1915522	GENE	Lingo1	NA	NA
MGI:96990	GENE	Mip	NA	NA
MGI:107387	GENE	Aqp4	NA	NA
MGI:1861437	GENE	Gsk3b	NA	NA
WormBase:WBGene00008053	GENE	cdc-48.2	NA	NA
WBPhenotype:0000679	DISO	transgene subcellular localization variant	NA	NA
Xenbase:XB-GENE-480662	GENE	aqp10	NA	NA
WormBase:WBGene00000171	GENE	aqp-3	NA	NA
SGD:S000002284	GENE	CDC48	NA	NA
MONARCH:APO_0000253APO_0000002	GENO	cell cycle progression:abnormal	NA	NA
NCBIGene:419268	GENE	NSFL1C	NA	NA
WormBase:WBGene00022381	GENE	ubxn-2	NA	NA
WormBase:WBGene00007352	GENE	cdc-48.1	NA	NA
HGNC:11634	GENE	TCF4	NA	NA
ZFIN:ZDB-GENE-090814-1	GENE	tcf4	NA	NA
