object_id,property_description,property_id,property_label,property_uri,reference_date,reference_supporting_text,reference_uri,subject_id
FlyBase:FBgn0035904,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0051469,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0051092,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0037225,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0039711,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0027932,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0036757,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0262787,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0037176,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
FlyBase:FBgn0052694,NA,RO:0002434,interacts with,http://purl.obolibrary.org/obo/RO_0002434,2018-03-15,"To understand how loss of NGLY1 contributes to disease, we developed a Drosophila model of NGLY1 deficiency. Loss of NGLY1 function resulted in developmental delay and lethality. We used RNAseq to determine which processes are misregulated in the absence of NGLY1.",https://www.ncbi.nlm.nih.gov/pubmed/29346549,FlyBase:FBgn0033050
