description,id,name,preflabel,semantic_groups,synonyms
NA,FlyBase:FBgn0033050,PNGase-like,Pngl,GENE,CG7865|Dmel\CG7865|PNGase|png1
NA,FlyBase:FBgn0035904,glutathione S-transferase omega 3,GstO3,GENE,GSTo
NA,FlyBase:FBgn0051469,uncharacterized protein,CG31469,GENE,CG9599|Dmel\CG31469
NA,FlyBase:FBgn0051092,Lipophorin receptor 2,LpR2,GENE,CG31092|CG4823|CG4834|Dmel\CG31092|LDLR|Lpr2|lpr2
NA,FlyBase:FBgn0037225,TweedleG,TwdlG,GENE,CG14643|Dmel\CG14643
NA,FlyBase:FBgn0039711,uncharacterized protein,CG7824,GENE,Dmel\CG7824
NA,FlyBase:FBgn0027932,A kinase anchor protein 200,Akap200,GENE,AKAP200|Akap 200|BcDNA:LP02734|CG13388|DAKAP200|Dmel\CG13388|EP(2)2254|MESR2|akap200|anon-WO0118547.134|anon-WO0118547.213|dpo
NA,FlyBase:FBgn0036757,ionotropic receptor 75a,Ir75a,GENE,AAEL010775
NA,FlyBase:FBgn0262787,uncharacterized protein,CG43168,GENE,Dmel\CG43168|chr3L_6268776_6270114.0|lincRNA.451
NA,FlyBase:FBgn0037176,uncharacterized protein,CG14456,GENE,Dmel\CG14456
NA,FlyBase:FBgn0052694,uncharacterized protein,CG32694,GENE,BcDNA:RE02049|CG12634|CG12649|CG18512|Dmel\CG32694
NA,FlyBase:FBgn0001233,heat shock protein 83-1,Hsp83,GENE,NA
NA,FlyBase:FBgn0085452,uncharacterized protein,CG34423,GENE,CG11079|Dmel\CG34423|Dmel_CG11079|anon-WO0118547.139
NA,FlyBase:FBgn0038946,retinol dehydrogenase B,rdhB,GENE,CG7077|Dmel\CG7077|RdhB
NA,FlyBase:FBgn0031490,uncharacterized protein,CG17264,GENE,Dmel\CG17264
NA,FlyBase:FBgn0028473,Novel nucleolar protein 1,Non1,GENE,BcDNA:LD23830|CG30341|CG8801|Dmel\CG8801|LD23830
NA,FlyBase:FBgn0001230,Heat shock protein 68,Hsp68,GENE,68|CG5436|DmHsp68|Dmel\CG5436|HSP68|HSP68_DROME|Hsp-68|hsp68
NA,FlyBase:FBgn0004425,Lysozyme B,LysB,GENE,CG1179|Dmel\CG1179|Lys B|lysB
NA,FlyBase:FBgn0003231,refractory to sigma P,ref(2)P,GENE,CG10360|Dmel\CG10360|Ref(2)P|Ref(2)P/p62|Ref(2)p|Ref2P|Ref2p|SQSTM1|p62|p62/Ref(2)P|p63|ref|ref(2)Pn|ref(2)Po2|ref(2)p|ref2p
"This gene is a proto-oncogene and encodes a nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. The encoded protein forms a heterodimer with the related transcription factor MAX. This complex binds to the E box DNA consensus sequence and regulates the transcription of specific target genes. Amplification of this gene is frequently observed in numerous human cancers. Translocations involving this gene are associated with Burkitt lymphoma and multiple myeloma in human patients. There is evidence to show that translation initiates both from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site, resulting in the production of two isoforms with distinct N-termini. [provided by RefSeq, Aug 2017].",FlyBase:FBgn0262656,"MYC proto-oncogene, bHLH transcription factor",Myc,GENE,MRTL|MYCC|bHLHe39|c-Myc
NA,FlyBase:FBgn0004426,LysC,LysC,GENE,NA
NA,FlyBase:FBgn0266594,ncRNA,CR45119,GENE,Dmel\CR45119
NA,FlyBase:FBgn0038838,Turandot B,TotB,GENE,BcDNA:LP06769|CG5609|Dmel\CG5609|Tot B|tot
NA,FlyBase:FBgn0261560,thor,Thor,GENE,153432_at|43-BP|4E-BP|4E-BP1|4EBP|4e-BP|4e-bp|4eBP|4ebp|BcDNA.HL08053|BcDNA:HL08053|CG8846|CT8705|Dm 4E-BP|Dmel\CG8846|Phas1|Thor/EIF4EBP|anon-WO0172774.158|d4E-BP|d4E-BP1|d4EBP|d4e-bp|d4eBP|dthor|eIF4E-BP|l(2)06270|l(2)k07736|l(2)k13517|pp20|thor
NA,FlyBase:FBgn0035623,methuselah-like 2,mthl2,GENE,CG17795|Dmel\CG17795|Mth-2|anon-WO0170980.28|anon-WO0170980.29
NA,FlyBase:FBgn0267706,ncRNA,CR46039,GENE,Dmel\CR46039
NA,FlyBase:FBgn0026315,UDP-glycosyltransferase 35a,Ugt35a,GENE,AC 006491F|CG6644|DmeUgt35a|Dmel\CG6644|UDPGT1|Ugt86Df|ugt35a
NA,FlyBase:FBgn0260000,uncharacterized protein,CG17570,GENE,38C.24|Dmel\CG17570|anon-38C.24
NA,FlyBase:FBgn0036678,uncharacterized protein,CG11905,GENE,Dmel\CG11905
NA,FlyBase:FBgn0265708,NA,CR44515,GENE,NA
NA,FlyBase:FBgn0035557,uncharacterized protein,CG11353,GENE,Dmel\CG11353|anon-WO0172774.162
NA,FlyBase:FBgn0029827,uncharacterized protein,CG6048,GENE,Dmel\CG6048|SP108
NA,FlyBase:FBgn0037562,uncharacterized protein,CG11671,GENE,BcDNA:GM23845|Dmel\CG11671
NA,FlyBase:FBgn0040735,uncharacterized protein,CG16836,GENE,Dmel\CG16836
NA,FlyBase:FBgn0039778,Jonah 99Fi,Jon99Fi,GENE,CG18030|Dmel\CG18030|Jon99F|SPH181
NA,FlyBase:FBgn0038073,uncharacterized protein,CG14395,GENE,Dmel\CG14395
NA,FlyBase:FBgn0034289,uncharacterized protein,CG10910,GENE,Dmel\CG10910
NA,FlyBase:FBgn0031034,uncharacterized protein,CG14205,GENE,Dmel\CG14205
NA,FlyBase:FBgn0265897,ncRNA,CR44686,GENE,Dmel\CR44686
NA,FlyBase:FBgn0038530,attachment protein,AttD,GENE,AGR_pAT_bx178
NA,FlyBase:FBgn0030993,Mec2,Mec2,GENE,CG7635|DMec2|Dmel\CG7635
NA,FlyBase:FBgn0259682,jabba,Jabba,GENE,141242_at|BP1008|CG1509|CG15092|CG34020|CG42351|Dmel\CG42351|Dmel_CG15092|Dmel_CG34020|anon-WO0118547.167
NA,FlyBase:FBgn0030929,uncharacterized protein,CG15043,GENE,BcDNA:RE41194|Dmel\CG15043
NA,FlyBase:FBgn0013688,mitochondrial small ribosomal RNA,mt:srRNA,GENE,NA
NA,FlyBase:FBgn0037126,uncharacterized protein,CG14567,GENE,Dmel\CG14567
NA,FlyBase:FBgn0036767,uncharacterized protein,CG16775,GENE,Dmel\CG16775
NA,FlyBase:FBgn0037762,elongase F,eloF,GENE,CG16905|Dmel\CG16905
NA,FlyBase:FBgn0035512,Cuticular protein 64Ac,Cpr64Ac,GENE,CG15008|DmelCpr64Ac|Dmel\CG15008
NA,FlyBase:FBgn0037964,uncharacterized protein,CG14731,GENE,Dmel\CG14731|gi21483202|gi7299531
NA,FlyBase:FBgn0035409,uncharacterized protein,CG14963,GENE,Dmel\CG14963
NA,FlyBase:FBgn0053926,uncharacterized protein,CG33926,GENE,Dmel\CG33926
NA,FlyBase:FBgn0034331,uncharacterized protein,CG15067,GENE,Dmel\CG15067|anon-EST:Posey85
NA,FlyBase:FBgn0259237,uncharacterized protein,CG42335,GENE,CG13420|CG31177|CG5845|Dmel\CG42335|Dmel_CG13420|Dmel_CG31177
NA,FlyBase:FBgn0034160,uncharacterized protein,CG5550,GENE,AAF57948|AAL48972|Dmel\CG5550|FBpp0086184
NA,FlyBase:FBgn0262366,uncharacterized protein,CG43064,GENE,Dmel\CG43064|MIP22993
NA,FlyBase:FBgn0264272,multiple wing hairs,mwh,GENE,BP1018|CG13913|CG34022|CG43772|Dmel\CG43772|Dmel_CG13913|Dmel_CG34022
NA,FlyBase:FBgn0039298,takeout,to,GENE,CG11853|CT33074|Dmel\CG11853|Takeout|To
NA,FlyBase:FBgn0040733,uncharacterized protein,CG15068,GENE,CT34939|Dmel\CG15068
NA,FlyBase:FBgn0040104,lectin-24A,lectin-24A,GENE,AC 005149A|AC005149a|CG3410|Dmel\CG3410
NA,FlyBase:FBgn0010038,glutathione S-transferase delta 2,GstD2,GENE,GSTt|Gstdelta
NA,FlyBase:FBgn0036948,uncharacterized protein,CG7298,GENE,Dmel\CG7298|anon-EST:ParkEST398
NA,FlyBase:FBgn0040736,immunoregulatory 3,IM3,GENE,LCH8-30
NA,FlyBase:FBgn0025583,immunoregulatory 2,IM2,GENE,LCH4
"This gene encodes the rate-limiting enzyme of the polyamine biosynthesis pathway which catalyzes ornithine to putrescine. The activity level for the enzyme varies in response to growth-promoting stimuli and exhibits a high turnover rate in comparison to other mammalian proteins. Originally localized to both chromosomes 2 and 7, the gene encoding this enzyme has been determined to be located on 2p25, with a pseudogene located on 7q31-qter. Multiple alternatively spliced transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Dec 2013].",FlyBase:FBgn0013307,ornithine decarboxylase 1,Odc1,GENE,ODC
NA,FlyBase:FBgn0265200,NA,CR44260,GENE,NA
NA,FlyBase:FBgn0035607,uncharacterized protein,CG4835,GENE,Dmel\CG4835
NA,FlyBase:FBgn0035282,CNMamide,CNMa,GENE,CG13936|Dmel\CG13936
NA,FlyBase:FBgn0031249,uncharacterized protein,CG11911,GENE,Dmel\CG11911|SP103
NA,FlyBase:FBgn0031805,uncharacterized protein,CG9505,GENE,Dmel\CG9505
NA,FlyBase:FBgn0044812,Turandot C,TotC,GENE,CG31508|Dmel\CG31508|TOTc|tot|totC
NA,FlyBase:FBgn0034741,uncharacterized protein,CG4269,GENE,Dmel\CG4269|cg4269
NA,FlyBase:FBgn0052368,uncharacterized protein,CG32368,GENE,BcDNA:RH61042|Dmel\CG32368
NA,FlyBase:FBgn0028396,Turandot A,TotA,GENE,CG31509|DIM 31|Dmel\CG31509|Tot|Tot A|Tot-A|Turt|tot|totA
NA,FlyBase:FBgn0004428,amino acid transporter LysE,LysE,GENE,NA
NA,FlyBase:FBgn0034187,uncharacterized protein,CG6967,GENE,CT21565|Dmel\CG6967
NA,FlyBase:FBgn0266099,uncharacterized protein,CG44836,GENE,CG13035|CG13036|Dmel\CG44836|Dmel_CG13035|Dmel_CG13036
NA,FlyBase:FBgn0032507,uncharacterized protein,CG9377,GENE,Dmel\CG9377|SPH166|c-SPH166
NA,FlyBase:FBgn0265455,uncharacterized protein,CG44355,GENE,Dmel\CG44355
NA,FlyBase:FBgn0001225,heat shock protein 26,Hsp26,GENE,NA
NA,FlyBase:FBgn0042207,uncharacterized protein,CG18530,GENE,CG12294|Dmel\CG18530
NA,FlyBase:FBgn0036876,uncharacterized protein,CG9451,GENE,Dmel\CG9451
NA,FlyBase:FBgn0036323,uncharacterized protein,CG14118,GENE,Dmel\CG14118
NA,FlyBase:FBgn0039470,uncharacterized protein,CG6296,GENE,DmelL7|Dmel\CG6296
NA,FlyBase:FBgn0032536,angiotensin-converting enzyme 3,Ance-3,GENE,GLEAN_02092
NA,FlyBase:FBgn0004427,Lysozyme D,LysD,GENE,CG9118|Dmel\CG9118|lysD
NA,FlyBase:FBgn0051380,uncharacterized protein,CG31380,GENE,CG4964|Dmel\CG31380
NA,FlyBase:FBgn0034317,uncharacterized protein,CG14499,GENE,CR14499|Dmel\CG14499|Dmel_CR14499
NA,FlyBase:FBgn0266227,NA,CR44922,GENE,NA
NA,FlyBase:FBgn0039203,uncharacterized protein,CG13618,GENE,Dmel\CG13618
NA,FlyBase:FBgn0033446,uncharacterized protein,CG1648,GENE,Dmel\CG1648
NA,FlyBase:FBgn0033327,Peptidoglycan recognition protein SC1b,PGRP-SC1b,GENE,CG8577|CT8705|Dmel\CG8577|PGRP SC|PGRP-SC|PGRP-SC1|PGRP-SC1B|SC1B|pgrp-sc|pgrp-sc1
NA,FlyBase:FBgn0031248,uncharacterized protein,CG11912,GENE,Dmel\CG11912|SP140|anon-WO0140519.112
NA,FlyBase:FBgn0001224,Heat shock protein 23,Hsp23,GENE,23|CG4463|DmHSP23|DmHsp23|Dmel20.6|Dmel\CG4463|HSP23|HSP23/IAP|Hsp-23|hsp 22K|hsp 23|hsp 23K|hsp23|hsp23/22|small hsp locus 67B
NA,FlyBase:FBgn0051041,uncharacterized protein,CG31041,GENE,Dmel\CG31041
NA,FlyBase:FBgn0004034,putative movement protein,y,GENE,NA
NA,FlyBase:FBgn0013278,Heat-shock-protein-70Bb,Hsp70Bb,GENE,Bb|CG31359|DMHSP7D1|Dm-hsp70|Dmel\CG31359|HSP70|Hsp 70|Hsp-70|Hsp70|Hsp70(87C)|Hsp70A7d|Hsp70B|Hsp70Bbc|Hsp70Bc|Hsp70bb|dHsp70|dhsp70|hsp-70|hsp70|hsp70 87C|hsp70B|hsp70Bb
NA,FlyBase:FBgn0035886,Jonah 66Ci,Jon66Ci,GENE,66C|CG7118|Dmel\CG7118|Jon66C|SP171
NA,FlyBase:FBgn0030880,uncharacterized protein,CG6788,GENE,AAF48780|Dmel\CG6788|FBpp0074269
NA,FlyBase:FBgn0052475,methuselah-like 8,mthl8,GENE,CG11869|CG13406|CG32475|Dmel\CG32475|Mth-8|anon-WO0170980.145|anon-WO0170980.146|mthl-8
NA,FlyBase:FBgn0036777,uncharacterized protein,CG7341,GENE,Dmel\CG7341
NA,FlyBase:FBgn0050008,uncharacterized protein,CG30008,GENE,CG12138|Dmel\CG30008|anon-WO0140519.246
NA,FlyBase:FBgn0262854,uncharacterized protein,CG43218,GENE,Dmel\CG43218|MB8.chr3L.pasa.58
NA,FlyBase:FBgn0037323,uncharacterized protein,CG2663,GENE,Dmel\CG2663
NA,FlyBase:FBgn0264831,ncRNA,CR44039,GENE,Dmel\CR44039
NA,FlyBase:FBgn0261054,Seminal fluid protein 24Bc,Sfp24Bc,GENE,CG42602|Dmel\CG42602|SFP24BC
NA,FlyBase:FBgn0259951,Seminal fluid protein 24Ba,Sfp24Ba,GENE,CG42461|Dmel\CG42461|SFP24BA
NA,FlyBase:FBgn0038009,uncharacterized protein,CG17738,GENE,Dmel\CG17738
NA,FlyBase:FBgn0263412,ncRNA,CR43458,GENE,Dmel\CR43458|lincRNA.913
NA,FlyBase:FBgn0266949,NA,CR45400,GENE,NA
NA,FlyBase:FBgn0051779,Accessory gland protein 24A4,Acp24A4,GENE,CG31779|Dmel\CG31779
NA,FlyBase:FBgn0039184,uncharacterized protein,CG6432,GENE,Dmel\CG6432
NA,FlyBase:FBgn0032265,uncharacterized protein,CG18301,GENE,Dmel\CG18301
NA,FlyBase:FBgn0031464,dual oxidase,Duox,GENE,NA
NA,FlyBase:FBgn0032055,uncharacterized protein,CG13091,GENE,CT32316|Dmel\CG13091
NA,FlyBase:FBgn0040256,Ugt86Dd,Ugt86Dd,GENE,AC 006491D|CG6633|Dmel\CG6633
NA,FlyBase:FBgn0005626,perinatal lethality,ple,GENE,Tg.ple|Tgple
NA,FlyBase:FBgn0267678,ncRNA,CR46014,GENE,Dmel\CR46014
NA,FlyBase:FBgn0263659,NA,CR43650,GENE,NA
NA,FlyBase:FBgn0038398,sex-specific enzyme 2,sxe2,GENE,CG4979|Dmel\CG4979
NA,FlyBase:FBgn0032538,uncharacterized protein,CG16885,GENE,CG18634|Dmel\CG16885|vajk-2
NA,FlyBase:FBgn0043792,uncharacterized protein,CG30427,GENE,BEST:LD36843|CG18680|CG2858|Dmel\CG30427
NA,FlyBase:FBgn0038007,Cyp313a3,Cyp313a3,GENE,313a3|CG10093|CYP313a3|Dmel\CG10093
NA,FlyBase:FBgn0262896,uncharacterized protein,CG43251,GENE,Dmel\CG43251|lincRNA.639
NA,FlyBase:FBgn0030558,uncharacterized protein,CG1461,GENE,Dmel\CG1461|cg1461
NA,FlyBase:FBgn0029823,Serine hydroxymethyl transferase,CG3011,GENE,144561_at|CG3011|Dmel\CG3011|SHMT|Shmt2|anon-WO03040301.100
NA,FlyBase:FBgn0016675,Galactose-specific C-type lectin,Lectin-galC1,GENE,AC007082a|CG9976|DL1|Dgal-1|Dmel\CG9976|Lecti-galC1|lectin-galC1
NA,FlyBase:FBgn0024294,Serpin 43Aa,Spn43Aa,GENE,CG12172|Dmel\CG12172|SER1|Ser1|Spn43 Aa|Spn43A|anon-WO0118057.1
NA,FlyBase:FBgn0038714,Cuticular protein 92A,Cpr92A,GENE,CG6240|DmelCpr92A|Dmel\CG6240
NA,FlyBase:FBgn0031925,Cyp4d21,Cyp4d21,GENE,4d21|CG6730|CYP4d21|Dmel\CG6730|cyp4d21|sxe1
NA,FlyBase:FBgn0036023,uncharacterized protein,CG18179,GENE,BEST:LP02275|Dmel\CG18179|SP152
NA,FlyBase:FBgn0004577,Peroxidase,Pxd,GENE,CG3477|DmPO|Dmel\CG3477|Dpxd|PO
NA,FlyBase:FBgn0028544,uncharacterized protein,CG16884,GENE,BG:DS00180.3|Dmel\CG16884|vajk-3
NA,FlyBase:FBgn0032067,Lysosomal alpha-mannosidase IV,LManIV,GENE,CG9465|Dmel\CG9465
NA,FlyBase:FBgn0034563,uncharacterized protein,CG15649,GENE,BcDNA:GH08880|Dmel\CG15649
NA,FlyBase:FBgn0036549,uncharacterized protein,CG10516,GENE,Dmel\CG10516
NA,FlyBase:FBgn0036553,uncharacterized protein,CG17027,GENE,152392_at|Dmel\CG17027|IMP
NA,FlyBase:FBgn0250843,Proteasome alpha6 subunit,Prosalpha6,GENE,143314_at|Alpha-6|CG4904|Dmel\CG4904|PROS-35|PROS-Dm35|PSMA1|Pros-35|Pros-Dm35|Pros35|alpha-6|alpha6|alpha_dm|anon-SAGE:Wang-116|pros 35|pros35
NA,FlyBase:FBgn0036597,uncharacterized protein,CG4962,GENE,CT15908|Dmel\CG4962
NA,FlyBase:FBgn0036969,Serpin 77Bb,Spn77Bb,GENE,CG6266|CG6663|Dmel\CG6663|Spn77
NA,FlyBase:FBgn0038983,uncharacterized protein,CG5326,GENE,Dmel\CG5326
NA,FlyBase:FBgn0030592,uncharacterized protein,CG9514,GENE,Dm GMCdelta1|Dmel\CG9514
NA,FlyBase:FBgn0259975,Seminal fluid protein 87B,Sfp87B,GENE,CG42485|Dmel\CG42485|GH21617p
NA,FlyBase:FBgn0039827,uncharacterized protein,CG1544,GENE,Dmel\CG1544
NA,FlyBase:FBgn0052072,Elongase 68alpha,Elo68alpha,GENE,CG32072|CG6261|Dmel\CG32072|elo68alpha
NA,FlyBase:FBgn0032726,uncharacterized protein,CG10621,GENE,BEST:LD26123|Dmel\CG10621|anon-WO0140519.13
NA,FlyBase:FBgn0259968,Seminal fluid protein 60F,Sfp60F,GENE,CG42478|Dmel\CG42478
NA,FlyBase:FBgn0039755,uncharacterized protein,CG15531,GENE,Dmel\CG15531
NA,FlyBase:FBgn0032713,uncharacterized protein,CG17323,GENE,CT35071|Dmel\CG17323
NA,FlyBase:FBgn0034045,uncharacterized protein,CG8249,GENE,Dmel\CG8249
NA,FlyBase:FBgn0267692,ncRNA,CR46028,GENE,Dmel\CR46028
NA,FlyBase:FBgn0037801,uncharacterized protein,CG3999,GENE,Dmel\CG3999
NA,FlyBase:FBgn0031542,uncharacterized protein,CG15414,GENE,Dmel\CG15414
NA,FlyBase:FBgn0041711,yellow-e,yellow-e,GENE,CG9792|Dmel\CG9792|e|yell-e
NA,FlyBase:FBgn0038986,stuck in traffic,CG5278,GENE,CG5278|Dmel\CG5278
NA,FlyBase:FBgn0038326,uncharacterized protein,CG5044,GENE,CT16187|Dmel\CG5044|HIBCH
NA,FlyBase:FBgn0038449,uncharacterized protein,CG17562,GENE,Dmel\CG17562
NA,FlyBase:FBgn0031940,uncharacterized protein,CG7214,GENE,Dmel\CG7214
NA,FlyBase:FBgn0043865,Stromalin-2,SA-2,GENE,CG1|CG13916|Dmel\CG13916|SNM|anon-WO0109301.35|pf-1|snm
NA,FlyBase:FBgn0051148,Glucocerebrosidase 1a,Gba1a,GENE,CG10299|CG31148|CT28913|Dmel\CG31148|anon-WO0140519.234|dGBA1a
NA,FlyBase:FBgn0039241,uncharacterized protein,CG11089,GENE,153761_at|BEST:GH11240|CT30991|Dmel\CG11089|atic
NA,FlyBase:FBgn0003357,Jonah 99Ciii,Jon99Ciii,GENE,99Calpha|CG15519|CG31362|Dmel\CG31362|Jon99B|Jon99C|Jon99C1|Jon99C2|Jon99Calpha|Jon99Calphaii|Jon99Cbeta|Jon99Cbetaiii|JonC|SER2|SP143|Ser2|Ser5|Ser99Db
NA,FlyBase:FBgn0029898,uncharacterized protein,CG14439,GENE,Dmel\CG14439
NA,FlyBase:FBgn0039030,uncharacterized protein,CG6660,GENE,Dmel\CG6660
NA,FlyBase:FBgn0030589,uncharacterized protein,CG9519,GENE,Dm GMCtheta1|Dmel\CG9519
NA,FlyBase:FBgn0011694,Ejaculatory bulb protein II,EbpII,GENE,CG2665|Dmel\CG2665|PEB|PEB2|PEBII|PEBmeII|PebII
NA,FlyBase:FBgn0051104,uncharacterized protein,CG31104,GENE,CG13657|Dmel\CG31104
NA,FlyBase:FBgn0037763,uncharacterized protein,CG16904,GENE,Dmel\CG16904
NA,FlyBase:FBgn0039495,uncharacterized protein,CG5909,GENE,Dmel\CG5909|SP8|c-SP8
NA,FlyBase:FBgn0259164,uncharacterized protein,CG42269,GENE,CG6596|CG6600|Dmel\CG42269|Dmel_CG6596|Dmel_CG6600
NA,FlyBase:FBgn0266951,NA,CR45402,GENE,NA
